id,total_rooms,total_bedrooms,households,median_house_value,city
12461,5298.0,954.0,918.0,155700.0,Sacramento
12462,2507.0,446.0,448.0,163700.0,Sacramento
12463,1878.0,338.0,342.0,161400.0,Sacramento
12464,1806.0,339.0,341.0,147100.0,Sacramento
12465,2443.0,476.0,457.0,142000.0,Sacramento
12466,3080.0,545.0,495.0,164500.0,Sacramento
12467,2334.0,435.0,446.0,148800.0,Sacramento
12468,2314.0,415.0,388.0,153900.0,Sacramento
12469,1962.0,356.0,362.0,147900.0,Sacramento
12470,4408.0,807.0,777.0,181600.0,Sacramento
12471,1394.0,397.0,353.0,109800.0,Sacramento
12472,2092.0,555.0,528.0,115100.0,Sacramento
12473,3807.0,952.0,850.0,137500.0,Sacramento
12474,2035.0,483.0,459.0,109300.0,Sacramento
12475,576.0,146.0,127.0,94300.0,Sacramento
12476,2434.0,744.0,662.0,140600.0,Sacramento
12477,2151.0,664.0,603.0,90300.0,Sacramento
12478,1186.0,341.0,320.0,70500.0,Sacramento
12479,463.0,180.0,190.0,85000.0,Sacramento
12480,1000.0,324.0,250.0,168800.0,Sacramento
12481,761.0,306.0,295.0,162500.0,Sacramento
12482,4018.0,1220.0,1122.0,125000.0,Sacramento
12483,745.0,175.0,160.0,77500.0,Sacramento
12484,569.0,405.0,367.0,137500.0,Sacramento
12485,1823.0,566.0,503.0,137500.0,Sacramento
12486,2438.0,804.0,747.0,141700.0,Sacramento
12487,567.0,193.0,187.0,187500.0,Sacramento
12488,1334.0,492.0,421.0,93800.0,Sacramento
12489,2410.0,967.0,829.0,87900.0,Sacramento
12490,1360.0,368.0,338.0,150000.0,Sacramento
12491,3136.0,926.0,877.0,123900.0,Sacramento
12492,2809.0,805.0,785.0,114100.0,Sacramento
12493,438.0,103.0,99.0,200000.0,Sacramento
12494,3233.0,968.0,837.0,168100.0,Sacramento
12495,2501.0,757.0,708.0,157500.0,Sacramento
12496,2006.0,412.0,384.0,236100.0,Sacramento
12497,3170.0,476.0,457.0,233800.0,Sacramento
12498,1750.0,372.0,369.0,111800.0,Sacramento
12499,810.0,172.0,151.0,140000.0,Sacramento
12500,893.0,159.0,160.0,213200.0,Sacramento
12501,1917.0,367.0,358.0,158900.0,Sacramento
12502,1625.0,419.0,383.0,156700.0,Sacramento
12503,1105.0,227.0,210.0,131700.0,Sacramento
12504,2423.0,466.0,438.0,131900.0,Sacramento
12505,906.0,165.0,166.0,139400.0,Sacramento
12506,1533.0,288.0,257.0,125900.0,Sacramento
12507,1316.0,244.0,245.0,137800.0,Sacramento
12508,3994.0,635.0,625.0,232500.0,Sacramento
12509,3420.0,555.0,530.0,173800.0,Sacramento
12510,182.0,39.0,43.0,98900.0,Sacramento
12511,3514.0,714.0,656.0,100100.0,Sacramento
12512,3374.0,808.0,753.0,77600.0,Sacramento
12513,1878.0,393.0,381.0,122800.0,Sacramento
12514,1250.0,235.0,232.0,121200.0,Sacramento
12515,1698.0,383.0,386.0,97000.0,Sacramento
12516,889.0,162.0,145.0,85600.0,Sacramento
12517,907.0,180.0,177.0,104000.0,Sacramento
12518,3126.0,648.0,558.0,84100.0,Sacramento
12519,2094.0,463.0,407.0,68500.0,Sacramento
12520,1091.0,403.0,336.0,65400.0,Sacramento
12521,1532.0,408.0,369.0,85900.0,Sacramento
12522,2083.0,559.0,524.0,95800.0,Sacramento
12523,1986.0,573.0,490.0,88100.0,Sacramento
12524,1151.0,263.0,258.0,113600.0,Sacramento
12525,1476.0,344.0,353.0,134700.0,Sacramento
12526,1145.0,324.0,288.0,114300.0,Sacramento
12527,900.0,239.0,231.0,87500.0,Sacramento
12528,1521.0,457.0,455.0,86900.0,Sacramento
12529,1492.0,385.0,365.0,108800.0,Sacramento
12530,1124.0,344.0,316.0,94600.0,Sacramento
12531,1375.0,351.0,321.0,87500.0,Sacramento
12532,613.0,166.0,147.0,93800.0,Sacramento
12533,858.0,254.0,200.0,80000.0,Sacramento
